gamma;sigma;type;method;sa_RMSE;weekly_RMSE;yearly_RMSE;trend_RMSE;remainder_RMSE;time;nb_years
0.2;;Deterministic DGP;X11;;;;;;;3
0.2;;Deterministic DGP;STL;0.291561594742908;0.182310760124553;0.225079212201629;0.189619149957758;0.199100025342202;0.286393709182739;3
0.2;;Deterministic DGP;AMB;0.0922522671964525;0.0165816276153118;0.0903886060689925;0.0751912423522322;0.0832381678746853;4.11179020404816;3
0.2;;Deterministic DGP;MAMB;0.275072874111894;0.0401600641306784;0.245892402767813;0.188380804282741;0.199637931943159;3.70102660179138;3
0.2;;Deterministic DGP;TBATS;0.0840654910719017;0.0158568645774753;0.0822216793062296;0.0913965208140409;0.0610317933303952;16.4490668964386;3
0.2;;Deterministic DGP;PROPHET;0.0689143012905585;0.0152019410963371;0.0670359982522796;0.0537026525919961;0.0476482728035173;2.42141742706299;3
0.2;;Deterministic DGP;MSTL;0.147490828854856;0.0653851088421417;0.129198946297552;0.0746621662786652;0.15799333052368;0.0106055784225464;3
0.4;;Deterministic DGP;X11;;;;;;;3
0.4;;Deterministic DGP;STL;0.433201239775944;0.363258401388543;0.22671163369147;0.187299732191266;0.382720016229207;0.0380011129379272;3
0.4;;Deterministic DGP;AMB;0.139242855470239;0.0299763551492792;0.135485091906356;0.103256685040085;0.143286211603094;2.31028954982758;3
0.4;;Deterministic DGP;MAMB;0.422969986581375;0.0609626937744703;0.387771596724748;0.149674033305905;0.392567829644247;3.05982521533966;3
0.4;;Deterministic DGP;TBATS;0.0982724309670977;0.0301326876373566;0.0926610197302196;0.110598746701404;0.103596622101895;15.0041968250275;3
0.4;;Deterministic DGP;PROPHET;0.084707915609837;0.0291310241017489;0.0790326559761056;0.0572508436834942;0.0786061142096085;1.5377724981308;3
0.4;;Deterministic DGP;MSTL;0.266797526921964;0.130005913310717;0.226221243640215;0.0838303755453404;0.275886301494945;0.0100035762786865;3
0.6;;Deterministic DGP;X11;;;;;;;3
0.6;;Deterministic DGP;STL;0.603731848624328;0.542520914210366;0.248000154591243;0.193601011360729;0.567909461806144;0.0361338996887207;3
0.6;;Deterministic DGP;AMB;0.181948867347853;0.0434880010304911;0.175600155947031;0.125465067778687;0.199017421400859;2.21493227005005;3
0.6;;Deterministic DGP;MAMB;0.574467770078383;0.0851887875688316;0.519731617674963;0.126129366774523;0.553149606839;2.93687458992004;3
